percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_below_poverty,percentile_rank_per_capita_income,median_household_income,percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,average_number_of_physically_unhealthy_days,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_per_capita_income,percentile_rank_social_vulnerability,per_capita_income,percent_frequent_mental_distress,average_number_of_mentally_unhealthy_days
0.2999,11.622916267999999,16.637681435999998,14.473508476,14.8,0.4438,0.2429,53960.0,0.2999,11.622916267999999,3.8551298972000003,16.637681435999998,14.473508476,14.8,0.2429,0.4804,28087.0,12.615815754000002,4.1121226304
0.8201,12.772927420999999,17.303198204,17.014349433,19.9,0.7479,0.7673,44946.0,0.8201,12.772927420999999,4.0934835091,17.303198204,17.014349433,19.9,0.7673,0.8991,20775.0,13.171927518,4.129971869599999
0.3827,10.874458745999998,15.520446062000001,14.730247494,11.7,0.2455,0.2665,69297.0,0.3827,10.874458745999998,3.4899424936,15.520446062000001,14.730247494,11.7,0.2665,0.4473,27728.0,11.607239035,3.7427972513
0.8819,12.664274004000001,16.720111688,16.668500024,17.6,0.6227,0.7829,43328.0,0.8819,12.664274004000001,4.1163201824,16.720111688,16.668500024,17.6,0.7829,0.6294,20587.0,13.096168175999999,4.1630504549000005
0.6925,10.517238172999999,15.55760781,13.768789332,10.4,0.1678,0.341,65955.0,0.6925,10.517238172999999,3.5504459895999996,15.55760781,13.768789332,10.4,0.341,0.3754,26420.0,11.377152156,3.7555797592
0.2999,11.868180103,15.646473990999999,15.936653387,13.1,0.3362,0.1818,55052.0,0.2999,11.868180103,3.9206883043,15.646473990999999,15.936653387,13.1,0.1818,0.4849,29349.0,12.565017092,4.1895301195
0.9376,13.088891395,17.664689381,18.900556514,22.1,0.8287,0.8074,45517.0,0.9376,13.088891395,4.1668369043,17.664689381,18.900556514,22.1,0.8074,0.9086,20235.0,13.205834800999998,4.181045524
0.6829,11.934368897,16.024647963,15.393386824,15.9,0.5107,0.5033,53738.0,0.6829,11.934368897,3.8813864718,16.024647963,15.393386824,15.9,0.5033,0.6543,24220.0,12.38122365,4.0328480751999995
0.5189,11.436164395999999,14.17891525,15.493605698,13.6,0.3664,0.0583,73703.0,0.5189,11.436164395999999,3.7780271925999998,14.17891525,15.493605698,13.6,0.0583,0.4187,35109.0,11.988426175999999,3.8790673389999997
0.6431,12.897591137000001,17.350194997,17.302028834,19.5,0.7294,0.8663,41262.0,0.6431,12.897591137000001,4.2617505625,17.350194997,17.302028834,19.5,0.8663,0.5794,19285.0,13.456708529,4.3453741993
0.6431,14.337570204,17.971445009,20.64132206,24.4,0.8879,0.6644,42618.0,0.6431,14.337570204,4.5339704975,17.971445009,20.64132206,24.4,0.6644,0.9182,22173.0,14.105888647,4.3335928714
0.4467,13.002554701,16.310994291,17.070928132,16.2,0.5304,0.5938,42878.0,0.4467,13.002554701,4.1935195577,16.310994291,17.070928132,16.2,0.5938,0.2614,23076.0,13.536837554000002,4.3242134677
0.6769,13.239916326,18.370495757,17.910785155,20.8,0.7867,0.7765,42728.0,0.6769,13.239916326,4.2138072623000005,18.370495757,17.910785155,20.8,0.7765,0.8211,20677.0,13.76502995,4.3274043058
0.7781,14.434733140999999,19.205305092,21.97416485,23.0,0.8586,0.7418,36862.0,0.7781,14.434733140999999,4.5470207304,19.205305092,21.97416485,23.0,0.7418,0.9328,21133.0,14.284448091,4.4240996505000005
0.4951,12.243174122000001,15.658887703,17.038629017,15.2,0.469,0.4282,50748.0,0.4951,12.243174122000001,4.013430578,15.658887703,17.038629017,15.2,0.4282,0.7861,25230.0,12.391632145,4.0131570626999995
0.2773,13.548234025,18.090857472,19.498561182,17.6,0.6227,0.5893,46779.0,0.2773,13.548234025,4.3401861407,18.090857472,19.498561182,17.6,0.5893,0.8303,23148.0,13.603953053,4.3730241156
0.5002,10.750685704,15.372268443,13.642424512,10.0,0.1474,0.235,64426.0,0.5002,10.750685704,3.5989610136000003,15.372268443,13.642424512,10.0,0.235,0.1133,28202.0,11.639061989000002,3.8174449159
0.1238,11.124542473,15.757820204000001,14.155566273,8.2,0.0716,0.1681,64768.0,0.1238,11.124542473,3.6573057029,15.757820204000001,14.155566273,8.2,0.1681,0.1146,29746.0,11.913193877000001,3.8748374343000003
0.7268,12.585892949000002,17.857970935999997,17.422171017,16.2,0.5304,0.5896,47758.0,0.7268,12.585892949000002,4.0603332294,17.857970935999997,17.422171017,16.2,0.5896,0.7122,23146.0,12.933393882999999,4.1193972537
0.5893,11.341530647,15.073575689,14.894970835999999,13.9,0.3852,0.2369,60801.0,0.5893,11.341530647,3.7460835673000004,15.073575689,14.894970835999999,13.9,0.2369,0.3731,28178.0,12.24523279,4.0169407504
0.9694,16.229843045,21.303396197999998,26.352486893000002,27.6,0.9424,0.9277,42725.0,0.9694,16.229843045,4.968570247,21.303396197999998,26.352486893000002,27.6,0.9277,0.9809,17960.0,15.41450113,4.5923053644
0.489,12.010675347000001,14.789372254000002,16.679165742000002,17.4,0.6097,0.1105,59329.0,0.489,12.010675347000001,3.8704940321,14.789372254000002,16.679165742000002,17.4,0.1105,0.6186,31473.0,12.15033872,3.8291224158999997
0.8876,15.645356383,20.794787648,24.725769774,25.7,0.9147,0.9265,38818.0,0.8876,15.645356383,4.8952619689,20.794787648,24.725769774,25.7,0.9265,0.9869,18009.0,15.240411415999999,4.7198945359
0.45399999999999996,12.194617147,18.379820476,17.061101274000002,19.5,0.7294,0.2732,50112.0,0.45399999999999996,12.194617147,3.8374384811,18.379820476,17.061101274000002,19.5,0.2732,0.7233,27593.0,12.971380219,4.2488692844
0.6925,13.12708344,18.008536939000003,20.013418143,16.3,0.5387,0.6476,57710.0,0.6925,13.12708344,4.2082921744,18.008536939000003,20.013418143,16.3,0.6476,0.7542,22394.0,13.278998272,4.2767347245
0.6925,12.532847112999999,16.768014654,18.091471904000002,17.2,0.5976,0.5444,52798.0,0.6925,12.532847112999999,4.086465642,16.768014654,18.091471904000002,17.2,0.5444,0.7615,23710.0,13.093077125999999,4.2624994688
