percent_smokers,percent_frequent_physical_distress,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_below_poverty,median_household_income,percentile_rank_no_highschool_diploma,average_number_of_physically_unhealthy_days,percentile_rank_per_capita_income,percentile_rank_social_vulnerability,per_capita_income
17.795532165,12.435918538,18.047138427,13.9,0.3852,50531.0,0.2286,4.0676679281,0.6301,0.7256,22590.0
14.241707251,11.252064064,14.291492143,14.5,0.4212,71920.0,0.1296,3.6831402616,0.0372,0.2945,37103.0
15.961985424000002,12.593127015,17.511145131,14.5,0.4212,46447.0,0.5291,4.0855335459,0.4925,0.6714,24332.0
18.119296578,12.851215452,18.892109396,17.4,0.6097,46355.0,0.5944,4.0842789887,0.6345,0.8462,22549.0
16.318567344,12.186455455,16.822267046,18.7,0.6883,54900.0,0.5893,3.9917432095,0.518,0.6845,24031.0
16.788920865999998,13.112819387,17.82130568,16.5,0.5536,48337.0,0.6125,4.1862663229,0.4129,0.6769,25407.0
18.136629665999997,13.029086950999998,18.749314576,18.5,0.6756,50149.0,0.6211,4.2371400492,0.6746,0.8402,22049.0
17.373690184,13.429209896,18.371780019000003,24.5,0.8898,43303.0,0.3919,4.2968821320999995,0.5161,0.8004,24066.0
13.802679907,11.241214507999999,14.56292343,14.5,0.4212,50467.0,0.4616,3.7013120404000004,0.2375,0.5014,28175.0
18.01229409,13.137011810999999,18.338246263,16.9,0.5791,48372.0,0.8058,4.231205177300001,0.6975,0.6784,21731.0
20.673412316,15.286453840999998,22.152687639,25.8,0.9159999999999999,38514.0,0.7934,4.7675965397,0.8602,0.9624,19411.0
24.057594215,18.259433838,30.037626404,30.8,0.9678,35407.0,0.9134,5.5942265970000005,0.9685,0.9940000000000001,16221.0
17.673989504,13.004647923,17.972562268,19.4,0.7259,41869.0,0.7644,4.1978850789,0.731,0.8236,21298.0
17.125582841,13.189953673,18.166850161,18.0,0.6479,46864.0,0.6581,4.3617639372,0.6406,0.8599,22463.0
19.415269925,13.731380764,18.822772262,19.3,0.7205,42831.0,0.7685,4.4227761188,0.843,0.8220000000000001,19688.0
19.070204933,14.922329324000001,22.735346871999997,24.2,0.8828,42807.0,0.9274,4.6424569924000005,0.8316,0.9577,19871.0
22.866670167,16.332613703,24.397278139,31.5,0.9713,36730.0,0.8516,5.0806136291,0.9691,0.9933,16192.0
16.708050684,11.962191445,16.468114249,17.1,0.5925,51491.0,0.6211,3.8844061920999997,0.6695,0.7526,22103.0
15.906936115999999,11.798716827,14.949750544,15.4,0.4811,50826.0,0.7329,3.9060380778,0.6791,0.4129,22013.0
17.195156723,13.303494199000001,18.945609764,17.9,0.6422,46342.0,0.8819,4.3031613414,0.7243,0.7641,21411.0
21.858117803000003,15.264442973,21.405758274,23.4,0.8669,43121.0,0.7934,4.8181160131,0.8058,0.7211,20256.0
15.696345978,12.365371922000001,16.32592321,14.4,0.4155,51398.0,0.4327,4.0562388206,0.4136,0.3451,25394.0
20.827439448,15.077784187,23.023572917,25.3,0.9086,36765.0,0.9605,4.6864883299,0.9545,0.9573,17042.0
14.670660455,10.673817655,13.910283688,9.7,0.1328,80428.0,0.3601,3.55617727,0.1172,0.1824,31185.0
20.209525704,15.16927393,23.880031144,25.6,0.9134,40263.0,0.9179,4.7571807619,0.894,0.993,18703.0
12.194937751,10.026010502,13.391759885,10.8,0.192,80169.0,0.1356,3.2818029256,0.0509,0.3168,35752.0
19.044592732,14.612719225,22.941932206,24.2,0.8828,38430.0,0.8319,4.5676015352,0.8504,0.9144,19563.0
18.811718772,14.863668737000001,23.914689554000002,23.6,0.8711,36042.0,0.8281,4.6914009950999995,0.7956,0.9338,20423.0
18.012060815,13.646595437,18.005719240999998,31.3,0.9698,48489.0,0.4467,4.3106074611,0.6087,0.4123,22892.0
17.654392519,14.238152295,20.757448702999998,21.8,0.8198,41572.0,0.7023,4.5547539421,0.7004,0.9621,21674.0
17.855462044,13.309091128,17.578168147,21.1,0.7969,44080.0,0.9019,4.2755274879,0.8128,0.8083,20145.0
18.060110062,13.778560457000001,21.263677217,22.5,0.8446,44015.0,0.7997,4.4363187483,0.6371,0.9279999999999999,22519.0
17.897245399000003,12.846680099999999,17.355597654,19.0,0.7042,49070.0,0.8685,4.1439862743,0.6944,0.7275,21820.0
16.81119175,13.318758631,18.178353644,21.3,0.8026,44756.0,0.6829,4.3362821380000005,0.7154,0.7077,21508.0
